model,feature,importance,importance_norm
random_forest,recent_transaction_30d,0.018718382149759204,0.018718382149759204
random_forest,mean_plan_days,0.018285136951832766,0.018285136951832766
random_forest,transactions_per_member_day,0.017765644079947563,0.017765644079947563
random_forest,recent_activity_gap,0.01762545401215489,0.01762545401215489
random_forest,recent_transaction_flag,0.015456521407977361,0.015456521407977361
random_forest,retention_profile_interaction,0.014694035821447305,0.014694035821447305
random_forest,member_age_days,0.012293953162746262,0.012293953162746262
random_forest,cancel_count,0.012094035151869464,0.012094035151869464
random_forest,listen_decay_7d,0.011657732582036664,0.011657732582036664
random_forest,days_since_last_log,0.009843480223834253,0.009843480223834253
random_forest,bd_clean,0.009544142353943678,0.009544142353943678
random_forest,registration_month,0.009346837404408961,0.009346837404408961
random_forest,recent_transaction_90d,0.00841995290907696,0.00841995290907696
random_forest,secs_decay_7d,0.0075484250471162945,0.0075484250471162945
random_forest,mean_discount_amount,0.007500184479734141,0.007500184479734141
random_forest,listen_decay_14d,0.006850923997795569,0.006850923997795569
random_forest,trans_per_active_day,0.006321513936185693,0.006321513936185693
random_forest,active_days,0.005867280250081331,0.005867280250081331
random_forest,recent_usage_value_interaction,0.005524744127735221,0.005524744127735221
random_forest,secs_decay_14d,0.0054763472984088015,0.0054763472984088015
random_forest,listen_decay_30d,0.005353196144418662,0.005353196144418662
random_forest,spend_per_active_day,0.005279628543721224,0.005279628543721224
random_forest,recent_usage_7d,0.005152385068969516,0.005152385068969516
random_forest,age_band,0.004990222321959358,0.004990222321959358
random_forest,listen_decay_90d,0.004771593948160525,0.004771593948160525
random_forest,spend_per_sec,0.004460880394923364,0.004460880394923364
random_forest,mean_discount_rate,0.00440137570083122,0.00440137570083122
random_forest,total_unq,0.004328601700736384,0.004328601700736384
random_forest,total_25,0.004278130117519287,0.004278130117519287
random_forest,usage_to_spend_ratio,0.004193784742077041,0.004193784742077041
random_forest,total_50,0.004031221387058791,0.004031221387058791
random_forest,secs_decay_30d,0.003887368946219743,0.003887368946219743
random_forest,listen_events_total,0.0038381711546570806,0.0038381711546570806
random_forest,registration_year,0.0038334162829031164,0.0038334162829031164
random_forest,mean_unq,0.0038216224745216006,0.0038216224745216006
random_forest,total_985,0.003776007726159249,0.003776007726159249
random_forest,total_100,0.0037173221829216114,0.0037173221829216114
random_forest,listen_unique_share,0.0036595078781702273,0.0036595078781702273
random_forest,mean_completion_rate,0.0036261961943258336,0.0036261961943258336
random_forest,secs_decay_90d,0.0035451822187832463,0.0035451822187832463
random_forest,completion_rate,0.0035411770631357167,0.0035411770631357167
random_forest,total_75,0.003530831487337769,0.003530831487337769
random_forest,total_secs_log1p,0.0033440133359906457,0.0033440133359906457
random_forest,events_per_active_day,0.0032743468315564756,0.0032743468315564756
random_forest,total_secs,0.003270915265801096,0.003270915265801096
random_forest,mean_secs,0.0032452842892194706,0.0032452842892194706
random_forest,secs_per_active_day_z,0.0031660264553795133,0.0031660264553795133
random_forest,listen_completion_share,0.0031609593086711165,0.0031609593086711165
random_forest,secs_per_active_day,0.003117052325704795,0.003117052325704795
random_forest,gender_clean,0.002758426583196004,0.002758426583196004
random_forest,bd_age_valid,0.0026930459283855362,0.0026930459283855362
random_forest,recent_usage_14d,0.002631757079361072,0.002631757079361072
random_forest,gender_missing,0.002389091827212518,0.002389091827212518
random_forest,profile_completeness,0.0023258530152016387,0.0023258530152016387
random_forest,registration_dayofweek,0.0015749392691222343,0.0015749392691222343
random_forest,recent_transaction_14d,0.0009824341622959973,0.0009824341622959973
random_forest,recent_transaction_7d,0.0009403976616426948,0.0009403976616426948
random_forest,registration_init_time_missing,0.0008121719464506316,0.0008121719464506316
random_forest,recent_usage_30d,0.00042307437966284224,0.00042307437966284224
random_forest,recent_usage_flag,0.00033936032930523583,0.00033936032930523583
random_forest,last_log_date_missing,0.0003081377782538382,0.0003081377782538382
random_forest,recent_usage_90d,0.00016349063575097568,0.00016349063575097568
random_forest,last_expire_date_missing,9.28714919070101e-05,9.28714919070101e-05
random_forest,last_transaction_date_missing,5.3575757998394054e-05,5.3575757998394054e-05
random_forest,bd_missing,0.0,0.0
random_forest,registered_via_missing,0.0,0.0
xgboost,auto_renew_rate,0.18659037351608276,0.18659036443629623
xgboost,last_log_date_missing,0.0788598358631134,0.07885983202566745
xgboost,recent_transaction_flag,0.06297391653060913,0.06297391346619746
xgboost,retention_rate_from_transactions,0.05967375636100769,0.0596737534571871
xgboost,recent_usage_7d,0.04812641814351082,0.04812641580160221
xgboost,cancel_rate,0.043468818068504333,0.043468815953242
xgboost,registration_init_time_missing,0.03358163684606552,0.03358163521192927
xgboost,recent_transaction_30d,0.025847285985946655,0.02584728472817631
xgboost,listen_decay_7d,0.02461131662130356,0.02461131542367746
xgboost,mean_plan_price,0.02307167649269104,0.0230716753699863
xgboost,recent_usage_14d,0.02142747864127159,0.02142747759857615
xgboost,trans_count,0.020871160551905632,0.02087115953628152
xgboost,mean_discount_amount,0.015684697777032852,0.015684697013790327
xgboost,trans_count_decay_7d,0.015349600464105606,0.015349599717169454
xgboost,days_since_last_transaction,0.0149543983861804,0.014954397658475416
xgboost,cancel_count,0.014895185828208923,0.014895185103385316
xgboost,trans_count_decay_90d,0.012286273762583733,0.012286273164713967
xgboost,days_since_last_log,0.011844891123473644,0.011844890547082265
xgboost,trans_count_decay_30d,0.011793918907642365,0.011793918333731375
xgboost,total_spend,0.011370128020644188,0.011370127467355542
xgboost,trans_count_decay_14d,0.01128926407545805,0.011289263526104373
xgboost,max_spend,0.011108990758657455,0.011108990218076167
xgboost,secs_decay_7d,0.010847986675798893,0.010847986147918482
xgboost,bd_age_valid,0.010828696191310883,0.010828695664369177
xgboost,mean_spend,0.009772304445505142,0.009772303969969151
xgboost,spend_per_transaction,0.009087731130421162,0.009087730688197605
xgboost,mean_discount_rate,0.008027981035411358,0.00802798064475694
xgboost,retention_profile_interaction,0.007991796359419823,0.007991795970526207
xgboost,recent_activity_gap,0.007560476195067167,0.007560475827162283
xgboost,member_age_days,0.007379498798400164,0.007379498439301929
xgboost,registration_month,0.007058564107865095,0.007058563764384056
xgboost,recent_usage_value_interaction,0.006941653788089752,0.006941653450297757
xgboost,last_transaction_date_missing,0.006548773031681776,0.006548772713007988
xgboost,mean_plan_days,0.00601222412660718,0.006012223834042721
xgboost,recent_usage_30d,0.005220857914537191,0.005220857660481881
xgboost,transactions_per_member_day,0.004394997842609882,0.004394997628742246
xgboost,recent_transaction_7d,0.004145381040871143,0.00414538083915026
xgboost,active_days,0.004107317887246609,0.004107317687377939
xgboost,trans_per_active_day,0.00393104599788785,0.003931045806596854
xgboost,listen_decay_14d,0.003926448058336973,0.00392644786726972
xgboost,age_band,0.0038619600236415863,0.003861959835712424
xgboost,listen_decay_30d,0.003644257318228483,0.0036442571408930834
xgboost,secs_per_active_day_z,0.0036431376356631517,0.0036431374583822374
xgboost,spend_per_active_day,0.0036315887700766325,0.0036315885933577044
xgboost,secs_decay_30d,0.0036252352874726057,0.0036252351110628482
xgboost,total_100,0.0035836610477417707,0.0035836608733550825
xgboost,usage_to_spend_ratio,0.0035438111517578363,0.003543810979310308
xgboost,total_secs,0.0035360767506062984,0.0035360765785351386
xgboost,gender_missing,0.003509150119498372,0.0035091499487375053
xgboost,total_secs_log1p,0.003507391083985567,0.0035073909133102976
